path,type,required,label,opendata,generated,description,thesaurus
"MCL","Array","non","Mots-clés","","","",""
"MENTIONS","String","non","Annotations présentes sur le négatif","","","",""
"MENTOR","String","non","Annotations présentes sur l'original","","","",""
"MENTTI","String","non","Annotations présentes sur le tirage","","","",""
"MCPER","Array","non","Identité de la personne photographiée","","","Nom, Prénom (profession ou titre et/ou dates)",""
"VUECD","String","non","No vue CD","","","No vue CD",""
"NUMAUTP","String","non","Numéro donné par le photographe","","","",""
"NUMCAF","String","non","Numéro de carte à fenêtre","","","",""
"ANUMOR","String","non","Ancien numéro de l'original","","","",""
"NUMOR","String","non","Numéro de l'original","","","",""
"NUMP","String","non","Numéro du négatif","","","Numéro du négatif. Doit contenir uniquement des caractères alphanumériques.",""
"ANUMTI","String","non","Ancien numéro du tirage","","","",""
"NUMTI","String","non","Numéro du tirage","","","Numéro du tirage. Doit contenir uniquement des caractères alphanumériques.",""
"RENV","String","non","Phototype(s) en relation","","","",""
"REG","Array","non","Région","","","",""
"SENS","String","non","Orientation du phototype","","","V, H, C, O",""
"SCLE","Array","non","Siècle de l'œuvre","","","12e ; 18e (fin)",""
"SUP","String","non","Support","","","",""
"TECH","String","non","Description technique du négatif","","","",""
"TECHOR","String","non","Description technique de l'original","","","",""
"TECHTI","String","non","Description technique du tirage","","","",""
"TOILE","String","non","Toile de fond","","","",""
"TYP","String","non","Type","","","Type  [Qu'est ce que c'est ?]",""
"TYPDOC","String","non","Catégorie de phototype","","","Négatif, Positif original, Image numérique, Tirage photographique, Reproduction. Affiche un avertissement si vide.",""
"TYPEIMG","String","non","Type d'image numérique","","","Forme : oui ou non selon qu'on charge ou non une image",""
"TYPSUPP","String","non","Type de support numérique","","","Doublon de TYPSN utilisé dans les versements plus récents ; valeur : DS1",""
"VIDEO","String","non","Vidéo","","","Vidéo [Semble être doublon avec IMG]",""
"LBASE2","String","non","Liens base","","","Liens base [Quelle différence avec LBASE?] requête système permettant d'activer le lien",""
"LEG2","String","non","Légende thes.","","","",""
"REFJOC","Array","non","Référence aux objets Joconde","","true","REFJOC contient une ou plusieurs références de notice Joconde.",""
"REFMUS","Array","non","Référence aux objets Muséo","","true","REFMUS contient une ou plusieurs références de notice Muséo.",""
"REFIM","String","non","Référence de l'image","","","",""
"REFIMG","String","non","Nom Image","","","Nom Image. Déprécié dans POP mais utilisé dans certains imports ( import MH dans Mémoire pour les REF : IV,OA,MH,AR,AP )",""
"MOSA","String","non","Mosaïques","","","",""
"SITE","String","non","Site","","","",""
"NUMSITE","String","non","N° du site","","","N° du site",""
"NUMOP","String","non","N° d'opération","","","N° d'opération",""
"CHRONO","String","non","Chronologie","","","",""
"REPRO","String","non","Numéro de reproduction","","","Contient le numéro du fichier numérique",""
"STRUCT","String","non","Structure","","","",""
"SUJET","String","non","Sujet représenté par la photographie ou le document graphique","","","",""
"TICO","String","non","Titre courant de l'œuvre","","","",""
"NUMI","String","non","Numéro du phototype","","","",""
"LIEU","String","non","Adresse et/ou lieu-dit","","","",""
"ADRS","String","non","Adresse saisie","","","Adresse saisie",""
"CONTACT","String","non","Lien vers le service producteur","","","Doit contenir une adresse email valide. Affiche un avertissement si vide.",""
"EMET","String","non","Code du producteur","","","",""
"NUM","String","non","N° support","","","",""
"IMG","String","non","Lien vers l'image","","","",""
"WCOM","String","non","Ville","","","Ville [Quelle difference avec COM ?]",""
"LIENS","String","non","Liens divers","","","",""
"LAUTP","String","non","Notice biographique","","","",""
"TRL","String","non","Technique de relevé du graphique","","","",""
"DENO","String","non","Dénomination de l'œuvre","","","",""
"AUT","Array","non","Auteur du phototype ou du document graphique","","","",""
"AUTR","Array","non","Auteur de l'œuvre étudiée","","","",""
"DOC","String","non","Technique, support, dimensions et date du document reproduit","","","",""
"NUMG","String","non","Numéro de la gravure","","","",""
